,Property Name,Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Floor Num,Total Floor,Property Age,URL,Furnishing,Covered_Parking,Open_Parking,Total Parking,Rating,Power Backup,Facing,Overlooking,Extra_Rooms,NearbyPlaces
1803,Shapoorji Pallonji Joyville Gurugram,Sector 102,3.35,2191,4,4,4,20,26,1,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-2400-sq-ft-spid-N83517992,1,1,1,2,3.9,1,North-East,Club,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
1804,Pioneer Park,Sector 61,2.49,1600,3,2,3,8,32,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-1670-sq-ft-r11-spid-S40685319,1,2,1,3,3.6000000000000005,1,North,Club,1,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1805,Pioneer Park,Sector 61,2.25,1270,2,3,2,8,32,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-1300-sq-ft-r14-spid-N32319397,1,1,1,2,3.6000000000000005,1,North,Club,1,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1806,Pioneer Park,Sector 61,2.18,1250,2,2,2,4,32,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-1300-sq-ft-r11-spid-E62373658,1,1,1,2,3.6000000000000005,1,North,Club,1,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1807,Pioneer Park,Sector 61,3.1,1700,3,3,3,18,32,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-1795-sq-ft-r13-spid-C59919366,1,2,1,3,3.6000000000000005,1,West,Club,0,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1808,Pivotal Paradise,Sector 62,0.85,700,2,2,2,4,14,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pivotal-paradise-sector-62-gurgaon-716-sq-ft-r1-spid-O81482819,1,1,1,2,3.8,0,North,Club,0,"['Sector 55-56 Metro Station', 'Hong Kong Bazaar', 'Faridabad Gurgaon Road', 'Sohna Road', 'Heritage Xperiential Learning School']"
1809,"Sushant Lok Phase 1, Gurgaon",Sector 43,4.95,2784,4,5,2,1,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-2700-sq-ft-r1-spid-C81812612,1,2,1,3,3.88,1,North-East,Park,1,"['Huda city centre metro station', 'New Life Church', 'Hanuman Mandir', 'Hdfc bank ATM', 'Standard chartered ATM']"
1810,"Sector 56, Gurgaon",Sector 56,4.0,2784,4,5,2,4,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-56-gurgaon-2700-sq-ft-r1-spid-N81911586,1,2,1,3,3.64,0,North,Park,1,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Hong Kong Bazaar Mall', 'Sanatan Dharm Mandir']"
1811,"Block C, Sushant Lok Phase 1, Gurgaon",Sector 43,4.1,2784,4,5,2,1,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-2700-sq-ft-r1-spid-S81843478,1,2,1,3,3.8,1,North,Main Road,1,"['Huda city centre metro station', 'Sector 42-43 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Hdfc bank ATM']"
1812,"Sector 57, Gurgaon",Sector 57,3.15,2227,3,4,2,1,4,1,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2160-sq-ft-r1-spid-W81818140,1,2,1,3,3.76,0,North,Park,1,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM']"
1813,"Sector 57, Gurgaon",Sector 57,2.15,1670,3,3,2,1,4,1,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-1620-sq-ft-r1-spid-Q81812874,1,1,1,2,3.76,0,North,Park,1,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM']"
1814,"Sector 57, Gurgaon",Sector 57,2.7,2598,4,4,2,1,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2520-sq-ft-r1-spid-B81911960,1,2,1,3,3.68,1,South-West,Park,1,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM']"
1815,"Sector 63, Gurgaon",Sector 63,4.0,2784,4,4,2,4,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-63-gurgaon-2700-sq-ft-r1-spid-U81811666,1,2,0,2,3.7,1,North,Main Road,2,"['International Tech Park', 'SPAZE BUSINESS PARK', 'Intellion Park', 'Hdfc bank', 'Unitech Business Park']"
1816,"Sector 47, Gurgaon",Sector 47,3.01,2269,3,3,2,2,4,2,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-47-gurgaon-2200-sq-ft-spid-P83321980,1,1,1,2,3.66,1,North,Main Road,0,"['Raheja Mall', 'Standard chartered ATM', 'Icici bank ATM', 'Meher Clinic', 'Park Hospital Gurgaon', 'Vishesh Dental']"
1817,M3M Skywalk,Sector 74,2.3,1134,2,2,4,29,30,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-skywalk-sector-74-gurgaon-1100-sq-ft-spid-I83252834,1,1,1,2,4.0,1,South,Club,0,"['HUDA complex Metro Station', 'Omaxe Gurgaon Mall', 'Gurgaon - Delhi Expy, Sector 75A', 'Lady Florence Public School', 'Gurugram University']"
1818,Pioneer Park,Sector 61,3.55,2000,3,4,3,11,28,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-2060-sq-ft-r5-spid-V40121869,1,2,1,3,3.6000000000000005,1,North,Club,1,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1819,M3M Skywalk,Sector 74,2.35,1134,2,2,4,29,30,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-skywalk-sector-74-gurgaon-1100-sq-ft-spid-K83025812,1,1,1,2,4.0,1,North-East,Club,0,"['HUDA complex Metro Station', 'Omaxe Gurgaon Mall', 'Gurgaon - Delhi Expy, Sector 75A', 'Lady Florence Public School', 'Gurugram University']"
1820,"Sector 55, Gurgaon",Sector 55,3.25,2784,4,4,2,2,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-55-gurgaon-2700-sq-ft-r1-spid-L81399985,1,2,1,3,3.84,1,North,Main Road,1,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Hong Kong Bazaar Mall', 'Sanatan Dharm Mandir']"
1821,"Sector 57, Gurgaon",Sector 57,2.55,2784,3,3,0,0,3,3,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2700-sq-ft-spid-S83012930,1,0,1,1,3.62,0,North-East,Park,0,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM']"
1822,M3M Skywalk,Sector 74,2.4,1273,2,2,4,29,30,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-skywalk-sector-74-gurgaon-1400-sq-ft-spid-I82869124,1,1,1,2,4.0,1,North,Club,0,"['HUDA complex Metro Station', 'Omaxe Gurgaon Mall', 'Gurgaon - Delhi Expy, Sector 75A', 'Lady Florence Public School', 'Gurugram University']"
1823,Pioneer Park,Sector 61,3.1,1750,3,3,3,14,32,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-1795-sq-ft-r16-spid-R38923017,1,2,1,3,3.6000000000000005,1,North,Club,1,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1824,Pioneer Park,Sector 61,3.9,2390,4,4,3,7,32,1,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-2438-sq-ft-r3-spid-L76861371,1,2,1,3,3.6000000000000005,1,North,Club,2,"['Sector 55-56 Rapid Metro', 'Hong Kong Bazaar', 'Golf Course Ext Rd', 'Gurugram University', 'Pathways School Gurgaon']"
1825,Vatika Emilia Floors,Sector 83,1.15,954,2,2,2,1,2,3,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-emilia-floors-sector-83-gurgaon-925-sq-ft-spid-L82731452,1,1,1,2,3.82,1,North-East,Main Road,0,"['Retail Shops', 'Town Square', 'INXT City Centre', 'Town Square 2', 'MatriKiran School', 'Apollo Cradle', 'Medeor']"
1826,"Sector 82, Gurgaon",Sector 82,1.35,1800,2,2,2,2,2,3,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sector-82-gurgaon-2160-sq-ft-spid-J82700776,1,0,1,1,3.8,1,North-East,Main Road,0,
1827,M3M Skywalk,Sector 74,2.38,1319,2,2,4,28,30,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-skywalk-sector-74-gurgaon-1424-sq-ft-spid-I82689476,1,1,1,2,4.0,1,North,Club,0,"['HUDA complex Metro Station', 'Omaxe Gurgaon Mall', 'Gurgaon - Delhi Expy, Sector 75A', 'Lady Florence Public School', 'Gurugram University']"
1828,Unitech The Residences,Sector 33,1.8,1019,2,2,2,11,14,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-unitech-the-residences-sector-33-gurgaon-1100-sq-ft-spid-S82559986,1,1,0,1,3.6000000000000005,1,North-West,Club,0,"['Huda Metro Station', 'Raheja Mall', 'Delhi Gurgaon Expressway', 'Yaduvanshi Shiksha Niketan', 'Sushant University']"
1829,Unitech The Residences,Sector 33,2.45,1431,3,4,3,7,14,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-the-residences-sector-33-gurgaon-1545-sq-ft-spid-A81188543,1,1,1,2,3.6000000000000005,1,North-East,Club,1,"['Huda Metro Station', 'Raheja Mall', 'Delhi Gurgaon Expressway', 'Yaduvanshi Shiksha Niketan', 'Sushant University']"
1830,DLF New Town Heights 1,Sector 90,2.1,1770,3,3,3,7,19,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-1930-sq-ft-spid-K83172260,1,2,0,2,4.1,1,North,Club,1,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']"
1831,Luxury DLF City Floors,Sector 26,4.55,2586,4,4,2,1,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-luxury-dlf-city-floors-dlf-phase-1-gurgaon-2856-sq-ft-spid-I83054604,1,2,1,3,3.74,1,North,Club,2,"['Sikandarpur metro station', 'Sikanderpur metro station', 'Sikandarpur rmrg metro station', 'Dlf phase 1 metro station', 'Dlf phase 2 metro station']"
1832,Luxury Builder Floor,Sector 41,3.1,1856,3,4,2,2,4,1,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-south-city-1-gurgaon-2134-sq-ft-spid-V82992150,1,2,1,3,3.78,1,North,Club,2,"['Huda city centre metro station', 'Axis bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Citi bank ATM', 'Icici ATM', 'Punjab national bank ATM']"
1833,Luxury Builder Floor,Sector 41,3.75,2453,4,4,2,2,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-south-city-1-gurgaon-2700-sq-ft-spid-A82929564,1,2,1,3,3.7,1,North,Club,2,"['Huda city centre metro station', 'Axis bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Citi bank ATM', 'Icici ATM', 'Punjab national bank ATM']"
1834,DLF Phase 1 Ultra Luxury Builder Floors,Sector 26,4.25,2784,4,4,2,2,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-ultra-luxury-builder-floors-dlf-phase-1-gurgaon-2700-sq-ft-r3-spid-I74547223,1,2,1,3,3.6000000000000005,1,North-East,Club,2,"['Sector 42-43 metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Guru dronacharya metro station']"
1835,DLF Phase 1 Ultra Luxury Builder Floors,Sector 26,4.0,2506,4,4,2,2,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-ultra-luxury-builder-floors-dlf-phase-1-gurgaon-2430-sq-ft-r4-spid-H74545159,1,2,1,3,3.7,1,North-East,Club,2,"['Sector 42-43 metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Guru dronacharya metro station']"
1836,Ultra Luxury Builder floor In Nirvana Country,Sector 50,4.75,2784,4,4,2,3,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ultra-luxury-builder-floor-in-nirvana-country-nirvana-country-gurgaon-2700-sq-ft-r4-spid-L75641251,1,2,1,3,3.72,1,North-West,Main Road,3,
1837,Luxury Builder floor In South City 2,Sector 49,2.5,1550,3,3,2,4,4,1,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-luxury-builder-floor-in-south-city-2-south-city-2-gurgaon-1620-sq-ft-spid-N82745810,1,2,2,4,3.88,1,North-East,Main Road,2,"['Raheja Mall', 'Standard chartered ATM', 'Icici bank ATM', 'Bones Clinic - Orthopaedics', 'Dr. Naresh Pandita', 'Vishesh Dental']"
1838,BRAND NEW CONSTRUCTION,Sector 25,4.75,2565,4,5,4,4,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2781-sq-ft-r1-spid-J79215019,2,2,1,3,3.7200000000000006,1,North-East,Club,2,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Indusind bank cyber city metro station']"
1839,Pyramid Heights,Sector 85,0.7,691,2,2,1,10,14,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-heights-sector-85-gurgaon-691-sq-ft-spid-S82261500,0,0,1,1,3.9,0,North,Main Road,0,"['Aanyaz Mall', 'Sector 86 Road', 'Dwarka Expy', 'Euro International School', 'SGT University', 'Shri Balaji’s Multispeciality Hospital']"
1840,Orris Aster Court,Sector 85,1.45,1550,3,3,3,4,12,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orris-aster-court-sector-85-gurgaon-1675-sq-ft-r2-spid-R59034364,1,1,0,1,3.94,1,North-East,Club,1,"['""Proposed Metro Station', 'Dwarka Expressway', 'Dhaula Kuan', 'IGI', 'Domestic Airport', 'Haldiram\'s""']"
1841,DLF Regal Gardens,Sector 90,2.83,2060,4,4,4,2,29,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-regal-gardens-sector-90-gurgaon-2225-sq-ft-spid-F81441603,1,1,1,2,4.0,1,North,Club,1,"['""SS Omnia, Sector 86', 'Numberdar market, IMT Manesar', ""Sodhi's Supermarket, Sector 82"", 'RPS International School', 'RHM Public School""']"
1843,DLF New Town Heights 1,Sector 90,2.0,1787,3,4,4,4,19,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-1930-sq-ft-spid-Y81205139,1,1,1,2,4.1,1,North-East,Club,1,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']"
1845,Umang Winter Hills,Sector 77,1.98,1923,3,4,4,5,18,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-winter-hills-sector-77-gurgaon-2077-sq-ft-r16-spid-I51862188,0,1,0,1,4.0,1,North-East,Club,1,"['Entertainland Mall', 'Delhi Jaipur Expressway', 'Jhankar Senior Secondary School', 'Singhania University, Manesar', 'Miracles Apollo Hospital']"
1846,Umang Winter Hills,Sector 77,2.02,1923,3,4,4,7,18,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-winter-hills-sector-77-gurgaon-2077-sq-ft-r7-spid-D60356192,0,0,1,1,4.0,1,South-West,Park,1,"['Entertainland Mall', 'Delhi Jaipur Expressway', 'Jhankar Senior Secondary School', 'Singhania University, Manesar', 'Miracles Apollo Hospital']"
1847,Suncity Vatsal Valley,Gwal Pahari,1.53,1046,2,2,2,2,4,1,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-suncity-vatsal-valley-gwal-pahari-gurgaon-1130-sq-ft-spid-K82261374,1,1,2,3,3.82,1,North-East,Club,0,"['Sector 55-56 Metro Station', 'Sector 54 Chowk Metro Station', 'Central Plaza Mall', 'Faridabad - Gurgaon Road', 'Badshahpur Sohna Rd Hwy']"
1848,SS Linden Floors,Sector 84,2.95,2500,4,4,2,3,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ss-linden-floors-sector-84-gurgaon-2700-sq-ft-spid-P83615470,1,2,0,2,3.62,1,North,Club,1,"['Millennium City Centre Gurugram', 'City Square mall', 'Dwarka Expressway', 'Modern Public School-kherki Daula', 'Agri Business Management Collage']"
1849,SS Linden Floors,Sector 84,2.9,2500,4,4,2,2,4,2,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ss-linden-floors-sector-84-gurgaon-2700-sq-ft-spid-O83615330,1,2,1,3,3.86,1,North,Club,2,"['Millennium City Centre Gurugram', 'City Square mall', 'Dwarka Expressway', 'Modern Public School-kherki Daula', 'Agri Business Management Collage']"
1850,DLF The Ultima,Sector 81,4.9,2650,4,4,4,21,29,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2872-sq-ft-spid-Q83613600,1,2,0,2,4.2,1,North,Club,3,"['Vatika Town Square Mall', 'Dwarka Expressway', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital']"
1851,DLF The Ultima,Sector 81,3.65,2050,3,3,2,24,29,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2132-sq-ft-spid-Q83612732,1,2,0,2,4.2,1,North,Club,2,"['Vatika Town Square Mall', 'Dwarka Expressway', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital']"
1852,DLF The Ultima,Sector 81,3.7,2000,3,4,4,15,29,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2100-sq-ft-spid-A83610670,1,2,0,2,4.2,1,North,Club,1,"['Vatika Town Square Mall', 'Dwarka Expressway', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital']"
1853,Godrej Air,Sector 85,3.45,2450,4,4,4,25,32,1,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-2599-sq-ft-spid-R83609988,1,2,0,2,3.82,1,North,Club,3,"['Millennium City Centre Gurugram', 'Iris Broadway', 'Rewari-Delhi Road', 'Euro International School, Sector 84', 'Gurugram University']"
1854,Godrej Air,Sector 85,2.48,1750,3,3,3,14,32,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-1829-sq-ft-spid-B83609152,1,1,0,1,3.9,1,North,Club,0,"['Millennium City Centre Gurugram', 'Iris Broadway', 'Rewari-Delhi Road', 'Euro International School, Sector 84', 'Gurugram University']"
1855,AVL 36 Gurgaon,Sector 36,0.92,941,2,2,2,4,10,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-avl-36-gurgaon-sector-36a-gurgaon-1150-sq-ft-spid-M83512826,2,1,0,1,3.7,0,Unknown,Park,0,"['Sapphire 83', 'NH 248BB', 'Delhi Public School', 'Gurugram University', 'Aarvy Healthcare Speciality Hospital', 'IGI']"
1856,AVL 36 Gurgaon,Sector 36,0.52,578,1,1,1,10,10,2,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-avl-36-gurgaon-sector-36a-gurgaon-750-sq-ft-spid-N83511100,0,1,0,1,3.7,1,North,Main Road,0,"['Sapphire 83', 'NH 248BB', 'Delhi Public School', 'Gurugram University', 'Aarvy Healthcare Speciality Hospital', 'IGI']"
1857,La Vida by Tata Housing,Sector 113,3.8,2337,3,3,3,10,25,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-2691-sq-ft-spid-V83441362,0,1,1,2,3.6000000000000005,1,North,Club,1,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Dwarka Expressway', 'Orchids The International School', 'GGS Indraprastha University']"
1858,La Vida by Tata Housing,Sector 113,3.0,1924,3,3,3,16,25,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-2217-sq-ft-spid-R83441262,0,1,1,2,3.6000000000000005,1,West,Club,1,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Dwarka Expressway', 'Orchids The International School', 'GGS Indraprastha University']"
1859,Smart World Gems,Sector 89,1.29,1000,2,2,2,2,4,1,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-smart-world-gems-sector-89-gurgaon-1196-sq-ft-spid-U83435382,0,1,0,1,3.74,1,North,Club,1,"['Millennium City Centre Gurugram', 'Airia Mall', 'Dwarka Expy', 'RPS International School', 'SGT University', 'Genesis Hospital Sector 84']"
1860,Smart World Gems,Sector 89,1.28,1100,2,2,2,2,4,1,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-smart-world-gems-sector-89-gurgaon-1250-sq-ft-spid-C83435368,0,1,0,1,3.66,1,North,Club,1,"['Millennium City Centre Gurugram', 'Airia Mall', 'Dwarka Expy', 'RPS International School', 'SGT University', 'Genesis Hospital Sector 84']"
1861,Ashiana The Center Court,Sector 88,1.95,1260,3,2,4,7,29,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashiana-the-center-court-sector-88a-gurgaon-1565-sq-ft-spid-K82996964,1,1,1,2,3.94,1,North,Club,0,"['Elan Miracle Mall', 'Dwarka Expy, Harsaru', 'Saraswati Model School', 'Cambridge College Of Education', 'Arc Multi Speciality hospital']"
1862,ROF Aalayas,Sector 102,0.63,510,2,2,1,10,14,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rof-aalayas-sector-102-gurgaon-551-sq-ft-spid-H82901542,1,1,1,2,3.9,0,North-East,Main Road,0,"['HUDA Metro Station', 'Idea Cosmic Plaza', 'Gurugram Road', 'Dwarka Expy', 'GEMS International School', 'The NorthCap University']"
1863,"DLF Cyber City, Gurgaon",Sector 24,4.5,2165,4,4,2,1,4,1,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-cyber-city-gurgaon-2100-sq-ft-r1-spid-S81199181,1,2,1,3,3.68,1,North,Main Road,2,"['Vodafone belvedere towers metro station', 'Mg road metro station', 'Dlf phase 2 metro station', 'Sikandarpur metro station']"
1864,Paras Dews,Sector 106,1.68,1186,3,4,4,5,24,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-1760-sq-ft-spid-V82389778,0,1,1,2,3.8,1,North,Club,1,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology']"
1865,Paras Dews,Sector 106,1.62,1186,3,4,4,7,24,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-1760-sq-ft-r2-spid-S77366887,0,1,1,2,3.8,1,North,Club,3,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology']"
1866,Puri Diplomatic Greens,Sector 111,3.7,2155,3,4,2,10,21,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-2200-sq-ft-spid-M81407093,1,2,0,2,3.7,1,South-East,Club,1,"['Dwarka Sector 21', 'Dreamz Mall', 'Northern Peripheral Road', 'Red Roses Public School', 'The NorthCap University']"
1867,Shree Vardhman Victoria,Sector 70,1.67,1562,3,5,3,10,18,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-r1-spid-P77853593,1,1,1,2,3.6000000000000005,1,North-East,Club,1,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International']"
1868,Shree Vardhman Victoria,Sector 70,1.65,1562,3,5,3,10,18,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-r1-spid-J77853651,1,1,1,2,3.6000000000000005,1,North-East,Club,1,"['Airia Mall', 'Golf Course Extn Road', 'Sohna Road', 'Southern Peripheral Rd, Gurugram', 'Kunskapsskolan International']"
1869,Central Park Flower Valley,Sector 33,1.54,1458,3,3,4,6,13,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-1575-sq-ft-r1-spid-Z77854331,1,1,1,2,3.7,1,North-East,Club,2,"['Airia Mall', 'NH 248A', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Vardaan Hospital & Trauma Centre']"
1870,Signature Global City 92,Sector 92,1.32,830,3,2,4,2,4,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-92-sector-92-gurgaon-1200-sq-ft-r1-spid-G78988655,1,1,1,2,3.6000000000000005,1,North-East,Club,4,"['Iris Broadway Mall', 'Dwarka Expressway', 'Imt Manesar', 'Gurugram University', 'RPS International School', 'Aarvy Healthcare Hospital']"
1871,Central Park Flower Valley,Sector 33,1.67,2370,3,2,4,7,13,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-2560-sq-ft-r1-spid-Y77854683,1,1,1,2,3.7,1,North-East,Club,1,"['Airia Mall', 'NH 248A', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Vardaan Hospital & Trauma Centre']"
