,Property Name,Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Floor Num,Total Floor,Property Age,URL,Furnishing,Covered_Parking,Open_Parking,Total Parking,Rating,Power Backup,Facing,Overlooking,Extra_Rooms,NearbyPlaces
5083,Godrej Meridien,Sector 106,2.01,1265,2,2,4,6,34,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1366-sq-ft-spid-K81565887,1,1,1,2,3.4,1,North,Club,0,"['Huda metro station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Ajmer Expressway', 'Euro International School, Sector- 109']"
5084,Puri Emerald Bay,Sector 104,3.46,2269,3,4,4,5,29,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-2450-sq-ft-spid-M81567113,1,1,1,2,4.2,1,North,Club,3,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College']"
5085,La Vida by Tata Housing,Sector 113,2.42,1370,3,2,2,6,25,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-1579-sq-ft-spid-F81578737,1,1,1,2,3.6000000000000005,1,North-East,Club,0,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Dwarka Expressway', 'Orchids The International School', 'GGS Indraprastha University']"
5086,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.4,1465,3,3,3,6,14,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1692-sq-ft-spid-Y81529041,0,1,0,1,3.9,1,North,Others,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5087,Paras Dews,Sector 106,1.5,940,2,2,4,5,24,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-1385-sq-ft-spid-Z81425757,0,1,0,1,3.8,1,North-East,Club,0,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology']"
5088,Shapoorji Pallonji Joyville Gurugram,Sector 102,2.42,1465,3,3,3,8,26,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1692-sq-ft-spid-N81374711,0,1,0,1,3.9,1,North,Others,0,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Delhi Public School', 'The NorthCap University']"
5089,La Vida by Tata Housing,Sector 113,2.41,1370,3,2,2,8,25,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-1579-sq-ft-spid-M81368205,1,1,0,1,3.6000000000000005,1,North-East,Club,0,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Dwarka Expressway', 'Orchids The International School', 'GGS Indraprastha University']"
5090,Green Court,Sector 90,0.66,655,2,2,2,7,14,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-court-sector-90-gurgaon-690-sq-ft-spid-D73178423,0,1,0,1,3.5,1,North,Main Road,0,"['Baba Kanala Chowk', 'Pataudi Rd', 'Gurukul Preschool', 'Yaduvanshi Shiksha Niketan', 'Bharat Ram Global School', 'RPS International School']"
5091,Ireo The Corridors,Sector 67,2.65,1778,3,3,4,7,19,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1920-sq-ft-spid-V80973835,1,2,0,2,3.9,1,North-West,Club,2,"['Huda Metro Station (Gurugram)', 'Paras Trinity Mall', 'Southern Peripheral Road', 'Lovely Public School', 'KIIT College of Engineering']"
5092,Ireo The Corridors,Sector 67,2.39,1599,3,3,3,7,19,2,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1727-sq-ft-spid-R80972329,1,2,0,2,3.9,1,North,Park,1,"['Huda Metro Station (Gurugram)', 'Paras Trinity Mall', 'Southern Peripheral Road', 'Lovely Public School', 'KIIT College of Engineering']"
5093,Ireo The Corridors,Sector 67,2.07,1426,2,2,3,10,19,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1540-sq-ft-spid-I80972063,1,1,0,1,3.9,1,North-West,Club,2,"['Huda Metro Station (Gurugram)', 'Paras Trinity Mall', 'Southern Peripheral Road', 'Lovely Public School', 'KIIT College of Engineering']"
